StateSystem,Polity_Full_Name,Polity,ConquerElite,Start_Century,End_Decade,Polity_Age,Councilors,Caste?,Slavery?,Succession Eligibility,Succession_Method,Kingmakers/Electors,Elite_Structure,Religious/Regulatory Societies/Age sets,Economy_Agriculture,Economy_Pastoralism,Economy_Trade,Trade_FoodStuffs_Livestock,Trade_Minerals,Trade_EnslavedPersons,Trade_Rtes,Elite_Ethnicity,Ideology,Stability,Judicial Autonomy,Islamic,Persistence,N_Sources
Yoruba,Ijebu,Ijebu,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Federation,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Ijesha,Ijesha,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Ketu,Ketu,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Ondo,Ondo,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Owo,Owo,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Owu,Owu,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Oyo,Oyo,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Sabe,Sabe,0,1300,1890,300yrsPlus,1,0,1,Within Eligible Clans/Royals,Elected,1,Regal,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Yoruba,Yoruba,Yoruba,0,1300,1890,300yrsPlus,1,0,1,Within Patrilineage,Elected,1,Federation,Yes,1,0,1,0,0,1,AtlanticSlave,Yoruba,Divine Kingship,Declining,Local,0,1,9
Zulu,Zulu,Zulu,0,1800,1870,50_99yrs,0,0,0,Within Patrilineage,Descent,0,Gatekeeper,Yes,1,1,0,0,1,0,IndianOcean,Zulu,Divine Kingship,Declining,Appointee,0,1,7
