Country,Polity,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD
Guinea,Fouta Djallon_Sud,Tembu,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.0624,-12.1098
Guinea,Fouta Djallon_Sud,Sougue,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.0686,-12.6777
Guinea,Fouta Djallon_Sud,Singuetti,,Yllabes Clan Residence,"Bah 2008, p. 31",12.0728,-12.8981
Guinea,Fouta Djallon_Sud,Pellal,,Lalyabes Clan Residence,"Bah 2008, p. 30",12.0823,-12.3388
Guinea,Fouta Djallon_Sud,Tounti Diogoma,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.083606,-11.579253
Guinea,Fouta Djallon_Sud,Madina Foulbe,,Khalidouyabes Clan Residence,"Bah 2008, p. 31",12.083614,-11.773795
Guinea,Fouta Djallon_Sud,Kaade,,,Diallo 1972 map 3,12.166667,-13.683333
Guinea,Fouta Djallon_Sud,Kade Foulamori,,Yllabes Clan Residence,"Bah 2008, p. 31",12.16927,-13.848555
Guinea,Fouta Djallon_Sud,Diohe Kalan,,Impotant Casted village,"Bah 2008, p. 34",12.181343,-11.869926
Guinea,Fouta Djallon_Sud,Touba Bakoni,,Important Diahanke village,"Bah 2008, p. 34",12.186,-12.6588
Guinea,Fouta Djallon_Sud,Wansan,,Niougeyabes Clan Residence,"Bah 2008, p. 33",12.2452,-12.6342
Guinea,Fouta Djallon_Sud,Madina Kouta,,Important Diahanke village,"Bah 2008, p. 34",12.2627,-12.1979
Guinea,Fouta Djallon_Sud,Busura,,,Diallo 1972 map 3,12.283333,-13.05
