Country,Polity,Province,Marker,Contemporary Village,Village Role,Source,YCOORD,XCOORD,
Guinea,Umarian,,Labata,,,Oloruntimehin,11.67207179,-10.64555616,
Mali,Umarian,kaarta,Lakamane,,Umarian Garrison,Hanson 1990 202,14.5095,-9.9099,
Mali,Umarian,Macina,Lardeballi,,,AF//305,14.354147,-4.400096,
Mali,Umarian,Macina,Loro,,,de Bruijn and Van Dijk p. 220,15.087389,-2.173012,
Mali,Umarian,Segou,Magnambougou,,Segou town  Tal attacks,Niakite p. 50,13.264614,-6.623846,
Mali,Umarian,Macina,Makou,,,AF//354,14.342198,-3.925187,
Mali,Umarian,Segou,Mansona,,,AF//388,12.9669,-6.1438,
Mali,Umarian,Segou,Markaduguba,,Commercial City,Philippe p. 39,13.913944,-6.347365,
Mali,Umarian,Segou,Masala,,,Kesselroot p. 600,12.823991,-7.641699,
Mali,Umarian,,Merkoya,,,Djata xiii,13.9245,-8.2005,
Mali,Umarian,kaarta,Monitgo,,,AF//269,14.362,-9.307,
Mali,Umarian,Macina,Mopti,,,Djata p. xii,14.489094,-4.192827,
Mali,Umarian,Segou,Mourdia,,,Philippe p. 39,12.608166,-7.320838,
Mali,Umarian,,Mourgula,,Umarian Fort,Djata xiii,12.633333,-9.183333,
Mali,Umarian,Macina,Moussa,,,"Ba and Daget, p. 203",15.3414,-3.7499,
Mali,Umarian,Segou,Mpeba,,,Kesselroot p. 600,13.4851,-6.1908,
Mali,Umarian,,Murugula,,major Umarian post,Robinson 1987,12.63333,-9.18333,
Mali,Umarian,Macina,Nandoli,,,AF//354,14.501098,-3.464687,
Mali,Umarian,Segou,Nango,,,AF//274,13.2353,-6.5847,
Mali,Umarian,Macina,Nia,,,"Ba and Daget, p. 161",14.026805,-4.112041,
Guinea,Umarian,,Niagassola,,major Umarian post,Robinson 1987,12.31666,-9.11666,
Mali,Umarian,Segou,Niamana,,Market,4PL/5,13.064264,-7.015057,
Mali,Umarian,Segou,Niamina/Nyamina,,Commercial City' Umar's base for conquering Segou,Oloruntimehin 124,13.3131,-6.983,
Mali,Umarian,kaarta,Niarene,,Umarian Garrison,Hanson 1990 202,14.267415,-9.740895,
